,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_lr,params_n_channels,params_optimizer,params_weight_decay,state
55,55,0.018029747530817986,2021-11-27 20:26:58.565336,2021-11-27 20:29:49.645007,0 days 00:02:51.079671,7,0.005596520662856616,12,Adam,1.721085470050269e-05,COMPLETE
56,56,0.13441407680511475,2021-11-27 20:29:49.646241,2021-11-27 20:30:20.135249,0 days 00:00:30.489008,7,4.410392782034967e-05,12,Adam,1.7223853144644443e-05,PRUNED
57,57,0.019270367920398712,2021-11-27 20:30:20.136547,2021-11-27 20:33:00.897080,0 days 00:02:40.760533,6,0.002712748054896965,12,Adam,3.3789898460912796e-05,COMPLETE
58,58,0.032425254583358765,2021-11-27 20:33:00.902674,2021-11-27 20:33:41.168404,0 days 00:00:40.265730,6,0.0025408735507463473,12,RMSprop,3.2356932654767394e-05,PRUNED
59,59,0.039053164422512054,2021-11-27 20:33:41.169404,2021-11-27 20:34:11.131171,0 days 00:00:29.961767,6,0.0008750902793582433,11,Adam,0.00024404426116347814,PRUNED
60,60,0.06878245621919632,2021-11-27 20:34:11.132171,2021-11-27 20:34:40.961148,0 days 00:00:29.828977,4,0.00019352885945792697,12,Adam,4.501435443304769e-05,PRUNED
61,61,0.019207792356610298,2021-11-27 20:34:40.963328,2021-11-27 20:37:30.657968,0 days 00:02:49.694640,7,0.003226115088476123,12,Adam,1.7024803808190935e-05,COMPLETE
62,62,0.02048380672931671,2021-11-27 20:37:30.666093,2021-11-27 20:40:00.579738,0 days 00:02:29.913645,7,0.005814286355193063,12,Adam,0.00011073691797181157,COMPLETE
63,63,0.01897548884153366,2021-11-27 20:40:00.582132,2021-11-27 20:42:27.323095,0 days 00:02:26.740963,7,0.0030970938513973046,11,Adam,1.7611945266794958e-05,COMPLETE
64,64,0.028182577341794968,2021-11-27 20:42:27.325780,2021-11-27 20:42:54.977403,0 days 00:00:27.651623,7,0.0011689541224003325,11,Adam,1.5832740158368718e-05,PRUNED
65,65,0.03369549289345741,2021-11-27 20:42:54.978404,2021-11-27 20:43:21.922588,0 days 00:00:26.944184,7,0.0005583959038933828,12,Adam,1.893570112638275e-05,PRUNED
66,66,0.01862364448606968,2021-11-27 20:43:21.923114,2021-11-27 20:45:51.910390,0 days 00:02:29.987276,8,0.003475069397211896,11,Adam,1.4082137061519964e-05,COMPLETE
67,67,0.0270986370742321,2021-11-27 20:45:51.912813,2021-11-27 20:46:24.866547,0 days 00:00:32.953734,8,0.0017464602407684456,11,Adam,1.3658302474238497e-05,PRUNED
68,68,0.15286652743816376,2021-11-27 20:46:24.866933,2021-11-27 20:46:58.732575,0 days 00:00:33.865642,7,0.0023722977001738197,11,SGD,4.9540962326925886e-05,PRUNED
69,69,0.027282273396849632,2021-11-27 20:46:58.733874,2021-11-27 20:47:31.306694,0 days 00:00:32.572820,8,0.0033408517648044794,11,Adam,8.306312526350875e-05,PRUNED
70,70,0.01898474432528019,2021-11-27 20:47:31.306694,2021-11-27 20:50:26.992549,0 days 00:02:55.685855,8,0.008665691759826231,12,Adam,3.116662583482012e-05,COMPLETE
71,71,0.018544524908065796,2021-11-27 20:50:26.999401,2021-11-27 20:53:06.216474,0 days 00:02:39.217073,8,0.0063696170498546935,12,Adam,2.1449881782744513e-05,COMPLETE
72,72,0.01771499030292034,2021-11-27 20:53:06.225778,2021-11-27 20:55:38.399657,0 days 00:02:32.173879,8,0.009008183182834403,12,Adam,2.107001126077851e-05,COMPLETE
73,73,0.019077802076935768,2021-11-27 20:55:38.400698,2021-11-27 20:58:26.438462,0 days 00:02:48.037764,8,0.005595810116057993,11,Adam,4.682726891841877e-05,COMPLETE
74,74,0.023616474121809006,2021-11-27 20:58:26.447647,2021-11-27 20:59:26.106204,0 days 00:00:59.658557,8,0.024225234332030294,12,Adam,2.1766257970079493e-05,PRUNED
75,75,0.018227091059088707,2021-11-27 20:59:26.107206,2021-11-27 21:01:55.637202,0 days 00:02:29.529996,8,0.01575211101518529,11,Adam,1.2421838348245364e-05,COMPLETE
76,76,0.018642911687493324,2021-11-27 21:01:55.638206,2021-11-27 21:04:44.167299,0 days 00:02:48.529093,8,0.015189991914063667,12,Adam,1.2688771076782644e-05,COMPLETE
77,77,0.020472267642617226,2021-11-27 21:04:44.175333,2021-11-27 21:07:35.507326,0 days 00:02:51.331993,8,0.015680648745945384,12,Adam,1.3046500437943431e-05,COMPLETE
78,78,0.08761917054653168,2021-11-27 21:07:35.510280,2021-11-27 21:08:13.294213,0 days 00:00:37.783933,8,0.009006633884996897,11,RMSprop,1.229945566865074e-05,PRUNED
79,79,0.027302496135234833,2021-11-27 21:08:13.294678,2021-11-27 21:08:30.818995,0 days 00:00:17.524317,8,0.021455226768984162,6,Adam,3.9109076014921186e-05,PRUNED
80,80,0.14887654781341553,2021-11-27 21:08:30.819997,2021-11-27 21:08:56.582111,0 days 00:00:25.762114,9,0.015481864328102123,12,SGD,0.18023051803655626,PRUNED
81,81,0.017839303240180016,2021-11-27 21:08:56.583644,2021-11-27 21:11:35.322960,0 days 00:02:38.739316,8,0.007036633475560791,12,Adam,2.2044151434926218e-05,COMPLETE
82,82,0.01795942336320877,2021-11-27 21:11:35.325015,2021-11-27 21:14:45.088707,0 days 00:03:09.763692,8,0.013117767691077524,12,Adam,1.3180205631284487e-05,COMPLETE
83,83,0.01805817522108555,2021-11-27 21:14:45.096540,2021-11-27 21:17:03.353953,0 days 00:02:18.257413,8,0.006678735016441073,12,Adam,1.2329349608401352e-05,COMPLETE
